CALL_ID,TOPICID
00001,ENG34
00002,ENG34
00003,ENG34
00004,ENG34
00005,ENG34
00006,ENG34
00007,ENG34
00008,ENG34
00009,ENG34
00010,ENG34
00011,ENG34
00012,ENG35
00013,ENG35
00014,ENG35
00015,ENG35
00016,ENG35
00017,ENG35
00018,ENG35
00019,ENG35
00020,ENG35
00021,ENG35
00022,ENG35
00023,ENG35
00024,ENG35
00025,ENG35
00026,ENG35
00027,ENG35
00028,ENG35
00029,ENG35
00030,ENG35
00031,ENG35
00032,ENG35
00033,ENG35
00034,ENG35
00035,ENG35
00036,ENG35
00037,ENG35
00038,ENG35
00039,ENG35
00040,ENG35
00041,ENG35
00042,ENG35
00043,ENG35
00044,ENG35
00045,ENG35
00046,ENG35
00047,ENG36
00048,ENG37
00049,ENG37
00050,ENG36
00051,ENG36
00052,ENG36
00053,ENG36
00054,ENG36
00055,ENG36
00056,ENG36
00057,ENG36
00058,ENG36
00059,ENG36
00060,ENG36
00061,ENG36
00062,ENG36
00063,ENG36
00064,ENG36
00065,ENG36
00066,ENG36
00067,ENG36
00068,ENG36
00069,ENG36
00070,ENG37
00071,ENG37
00072,ENG37
00073,ENG37
00074,ENG37
00075,ENG37
00076,ENG37
00077,ENG37
00078,ENG37
00079,ENG37
00080,ENG37
00081,ENG37
00082,ENG37
00083,ENG37
00084,ENG37
00085,ENG37
00086,ENG37
00087,ENG37
00088,ENG37
00089,ENG37
00090,ENG37
00091,ENG37
00092,ENG37
00093,ENG37
00094,ENG37
00095,ENG37
00096,ENG37
00097,ENG37
00098,ENG37
00099,ENG37
00100,ENG37
00101,ENG37
00102,ENG37
00103,ENG37
00104,ENG37
00105,ENG38
00106,ENG38
00107,ENG38
00108,ENG38
00109,ENG38
00110,ENG38
00111,ENG38
00112,ENG38
00113,ENG38
00114,ENG38
00115,ENG38
00116,ENG38
00117,ENG38
00118,ENG38
00119,ENG38
00120,ENG38
00121,ENG38
00122,ENG38
00123,ENG38
00124,ENG38
00125,ENG38
00126,ENG38
00127,ENG38
00128,ENG38
00129,ENG38
00130,ENG38
00131,ENG38
00132,ENG38
00133,ENG38
00134,ENG38
00135,ENG38
00136,ENG38
00137,ENG38
00138,ENG38
00139,ENG38
00140,ENG38
00141,ENG38
00142,ENG38
00143,ENG38
00144,ENG38
00145,ENG38
00146,ENG38
00147,ENG38
00148,ENG38
00149,ENG38
00150,ENG38
00151,ENG38
00152,ENG38
00153,ENG38
00154,ENG38
00155,ENG38
00156,ENG38
00157,ENG38
00158,ENG38
00159,ENG38
00160,ENG38
00161,ENG38
00162,ENG38
00163,ENG39
00164,ENG39
00165,ENG39
00166,ENG39
00167,ENG39
00168,ENG39
00169,ENG39
00170,ENG39
00171,ENG39
00172,ENG39
00173,ENG39
00174,ENG39
00175,ENG39
00176,ENG39
00177,ENG39
00178,ENG39
00179,ENG39
00180,ENG39
00181,ENG39
00182,ENG39
00183,ENG39
00184,ENG39
00185,ENG39
00186,ENG39
00187,ENG39
00188,ENG39
00189,ENG39
00190,ENG39
00191,ENG39
00192,ENG39
00193,ENG39
00194,ENG39
00195,ENG39
00196,ENG39
00197,ENG39
00198,ENG39
00199,ENG39
00200,ENG39
00201,ENG39
00202,ENG39
00203,ENG39
00204,ENG39
00205,ENG39
00206,ENG39
00207,ENG39
00208,ENG39
00209,ENG40
00210,ENG40
00211,ENG40
00212,ENG40
00213,ENG40
00214,ENG40
00215,ENG40
00216,ENG40
00217,ENG40
00218,ENG40
00219,ENG40
00220,ENG40
00221,ENG40
00222,ENG40
00223,ENG40
00224,ENG40
00225,ENG40
00226,ENG40
00227,ENG40
00228,ENG40
00229,ENG40
00230,ENG40
00231,ENG40
00232,ENG40
00233,ENG40
00234,ENG40
00235,ENG40
00236,ENG40
00237,ENG40
00238,ENG40
00239,ENG40
00240,ENG40
00241,ENG40
00242,ENG40
00243,ENG40
00244,ENG40
00245,ENG40
00246,ENG01
00247,ENG01
00248,ENG01
00249,ENG01
00250,ENG01
00251,ENG01
00252,ENG01
00253,ENG01
00254,ENG01
00255,ENG01
00256,ENG01
00257,ENG01
00258,ENG01
00259,ENG01
00260,ENG01
00261,ENG01
00262,ENG01
00263,ENG01
00264,ENG01
00265,ENG01
00266,ENG01
00267,ENG01
00268,ENG01
00269,ENG01
00270,ENG01
00271,ENG01
00272,ENG01
00273,ENG01
00274,ENG01
00275,ENG02
00276,ENG02
00277,ENG02
00278,ENG02
00279,ENG02
00280,ENG02
00281,ENG02
00282,ENG02
00283,ENG02
00284,ENG02
00285,ENG02
00286,ENG02
00287,ENG02
00288,ENG02
00289,ENG02
00290,ENG02
00291,ENG02
00292,ENG02
00293,ENG02
00294,ENG02
00295,ENG02
00296,ENG02
00297,ENG02
00298,ENG02
00299,ENG02
00300,ENG02
00301,ENG02
00302,ENG02
00303,ENG02
00304,ENG02
00305,ENG02
00306,ENG02
00307,ENG02
00308,ENG02
00309,ENG02
00310,ENG02
00311,ENG02
00312,ENG02
00313,ENG03
00314,ENG03
00315,ENG04
00316,ENG05
00317,ENG05
00318,ENG05
00319,ENG06
00320,ENG06
00321,ENG06
00322,ENG06
00323,ENG06
00324,ENG06
00325,ENG06
00326,ENG06
00327,ENG06
00328,ENG06
00329,ENG06
00330,ENG06
00331,ENG06
00332,ENG06
00333,ENG08
00334,ENG08
00335,ENG08
00336,ENG08
00337,ENG08
00338,ENG08
00339,ENG08
00340,ENG08
00341,ENG08
00342,ENG08
00343,ENG08
00344,ENG08
00345,ENG08
00346,ENG08
00347,ENG08
00348,ENG08
00349,ENG08
00350,ENG08
00351,ENG08
00352,ENG08
00353,ENG08
00354,ENG08
00355,ENG08
00356,ENG08
00357,ENG08
00358,ENG08
00359,ENG10
00360,ENG11
00361,ENG12
00362,ENG13
00363,ENG13
00364,ENG16
00365,ENG20
00366,ENG22
00367,ENG23
00368,ENG24
00369,ENG24
00370,ENG24
00371,ENG25
00372,ENG25
00373,ENG25
00374,ENG26
00375,ENG26
00376,ENG26
00377,ENG26
00378,ENG26
00379,ENG26
00380,ENG27
00381,ENG27
00382,ENG27
00383,ENG27
00384,ENG27
00385,ENG27
00386,ENG27
00387,ENG27
00388,ENG28
00389,ENG28
00390,ENG28
00391,ENG28
00392,ENG28
00393,ENG28
00394,ENG28
00395,ENG28
00396,ENG28
00397,ENG29
00398,ENG29
